,House Title,Location,Date,Link,Price,Bedrooms,Sqft,House Description
1,Twin House at excellent Parkcrest location (Burnaby South),Burnaby,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-twin-house-at-excellent/6952507954.html,3750,4,2011.0,"

QR Code Link to This Post


This contemporary home in South Burnaby is built at the excellent Parkcrest location includes radiant heat, gas fireplace, 4 bdrms, 2.5 baths. Great value. The master bedroom has a walk-in closet, balcony with view of north Burnaby and the North Shore Mountains, and a spa-like ensuite bathroom; Upstairs newer laminate flooring; Master bed room with balcony, Metrotown skyline view. Back yard with deck. Nearby schools include Boat Course, Parkcrest Preschool and Camerin Guitar Studios. The closest grocery stores are Buy Low Foods, M&M Food Market and Safeway Kensington Burnaby. Nearby coffee shops include ParkCrest Diner, White Lotus Cafe and Starbucks. Nearby restaurants include Sushi U, and Garlic & Chilli Restaurant. Near Kensington Park, Sumas Park and Broadway-Woolwich Park. 

Availability: immediately or August 16, 2019
Building: One of the Twin House
Levels: 2
Bedroom: 3 upstairs / 1 on the ground floor
Living Room: 1 
Bathroom: 2.5
Kitchen: 1 (super large)
Total areas: 2011 sq ft
Rent: $3,750 per month 
Lease: one year minimum
Deposit: half a month rent 
Pets: Sorry, no

Inquiries and viewing appointments are welcome to email back or call  show contact info


This property is professionally managed by Metrowest Building Services Ltd.

keywords: rental in Burnaby, 4 bedroom house,
"
2,Storage 16ft X 40ft X 8ft high. $700/month,"Burnaby, ByrneRd./Meadow Ave",Aug  8,https://vancouver.craigslist.org/bnc/prk/d/richmond-storage-16ft-40ft-8ft-high-700/6938204412.html,700,,640.0,"

QR Code Link to This Post


Two Sea Containers with sides removed and placed together. Open space 16' x 40' x 8' high. Large open lockable doors behind a locking gate. Very secure and in a space between two buildings. Ground level DRY Storage! 24hr-365 day access.  No power or water. One occupant only! $700/month, long term.    "
3,Bright Furnished room - ALL utils/near skytrain/Douglas/JIBC/Film,New Westminster,Aug  8,https://vancouver.craigslist.org/bnc/roo/d/new-westminster-bright-furnished-room/6936139658.html,700,,,"

QR Code Link to This Post


THE FURNISHED BRIGHT AND SUNNY CORNER ROOM INCLUDES : 
- Extremely comfy queen sized bed 
- Night stand, dresser and desk

Shared:

- Full kitchen
- Dishwasher
- Washer/Dryer
- Wood-burning fireplace in living room
- Large Deck with amazing view


(You can also use the pool and any other amenities but we maintain the right to restrict use.)


AMENITIES ALSO INCLUDE:

*12-15 minute walk or 5 minute drive to Braid skytrain 
*17 minute walk to Sapperton station 
**10 mins to Downtown New West and 30 mins to Downtown Vancouver on skytrain.

**15 min walk /5 minute drive/ 8 min cycle to Royal Columbian Hospital
**DOUGLAS COLLEGE - 23 mins on transit / 8 minutes drive / 14 minutes cycling
**JUSTICE INSTITUTE - 13 mins on transit / 5 mins drive / 11 mins cycling
**ROYAL COLUMBIAN HOSPITAL - 8 mins on transit / 3 mins drive/ 15 mins walk / 6 mins cycling
** SFU - 10 mins drive / 40 mins on transit

**IDEAL FOR THOSE WHO WORK IN FILM/TV AS WE ARE CENTRAL TO THE CITY AS WELL AS FILM LOCATIONS ALL OVER THE LOWER MAINLAND!


* ALL UTILITIES (WI-FI, Gas/Hydro) are included.
* ALL HOUSEHOLD ITEMS ARE INCLUDED 
You just provide your food and personal hygiene items and bedding.

Contact to arrange viewing :)    "
4,Summer Special:  All Inclusive Spacious Private Room,East Burnaby,Aug  8,https://vancouver.craigslist.org/bnc/roo/d/burnaby-summer-special-all-inclusive/6932368180.html,675,,,"

QR Code Link to This Post


Students and working professionals are welcome

Douglas, SFU or BCIT Student; 15 minutes bus to Campus

Working Professionals are welcome

All inclusive spacious private room look for a roommate; Utilities, wireless cable TV, laundry and high speed internet are all included. 

Availability: August 1st

Short term lease is available 
monthly lease is $900
3 month lease: $800
6 months lease: $700

Each bedroom has its own lock and window and is furnished with desk, bed and closet

Room size: 12x13

Each bedroom has double size bed, its own lock and window and is furnished with desk and dresser.

You would also have a large kitchen, living room with LED cable TV, wireless Internet, full bathroom and in suite washer/dryer to share.

We are located in quiet and convenient area and bus stop is only steps away.

One bus to SFU (101 to Logheed Station), Douglas College (106), BCIT (123) and few bus stops to Edmonds Station (106) and Highgate Mall and public library.


Please text Anna @ show contact info
 or Eric@ show contact info
 for viewing appointment    "
5,"7120 BARNET RD, 1046 Sq.ft,2 Bed+ 2 Bath Towhouse For Sale in Burnaby","9-7120 Barnet Rd, Burnaby North",Aug  8,https://vancouver.craigslist.org/bnc/reb/d/burnaby-7120-barnet-rd-1046-sqft2-bed-2/6939924196.html,529900,2,1046.0,"

QR Code Link to This Post


Quiet 2 Bedroom + 2 Bathroom, 1,046 Sq.Ft., West-facing townhouse at ""Harbour Ridge Terrace"". This well-maintained2-storey home features a spacious living room with a wood-burning fireplace, a kitchen nook with skylights & dining room with glass door that leads to a spectacular large private patio. Sleek laminate flooring throughout and plush carpet in bedrooms. Generously sized bedrooms and lots of storage throughout. Bonus side-by-side parking stalls #71 & #72. Close to SFU, Burnaby North Secondary, Kensington Plaza shopping, transit, parks & recreation. Contact us today for a private showing!

Open House:
Sat July 27th  1- 3 pm

John Tsai Personal Real Estate Corporation
Real Estate Advisor|Team Leader of The John Tsai Group

MLS President's Club Member (Top 1% of Greater Vancouver) 2015 - 2018
MLS Master Medallion Club Member (Top 10% of Greater Vancouver) 2010 - 2018

eXp Realty
151 West Hastings St
Vancouver, BC V6B 1H4

M:  show contact info

Email:  show contact info

"
6,Brand New 2bed/2bath and 2 parking,North Burnaby close to Skytrain,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-2bed-2bath-and-2/6939279770.html,2700,2,889.0,"

QR Code Link to This Post


Enjoy the Stunning Mountain views form this 889sqft 2 bedroom /2bathroom condo  in the heart of Burnaby !
This brand new unit offers beautiful laminate floor, open layout, open kitchen, and outdoor space with picture perfect views for your morning coffee or BBQ when entertaining. 

Unbeatable Location, walk to Brentwood Mall, Skytrain, Busses, to say the least. Also close to schools; BCIT, SFU, Shopping, Trails, Shopping, Restaurants so much more 

The building has amazing amenities inspire by the world’s finest hotels, Club Escala takes luxurious living to a whole new level. With an indoor pool and spa, steam and sauna rooms, fitness room and yoga studio, billiards and ping pong tables, movie theatre room, lounge and resident only concierge.  

No smoking
No Pets

Comes with 2 side by side parking 


**the photos are developer renderings which may not be exactly like the unit 


"
7,Available September 1st  Bdrm Basement Suite,"214 Princess St., New Westminster",Aug  8,https://vancouver.craigslist.org/bnc/apa/d/available-september-1st-bdrm-basement/6952477001.html,1500,2,,"

QR Code Link to This Post


Spectacular bright 2 bedroom basement suite with private in-suite laundry, access to shared fenced backyard. Suite is legal conforming to all bylaws with 8 foot ceilings, full size windows in each room, wired for cable, internet and alarm. Family oriented neighborhood on a quite street. Centrally located to Herbert Spencer Elementary School, Queens Park, transportation, public amenities, and shopping. Suite is completely new with new cabinetry, granite kitchen counter tops, large windows, new flooring, new walls, and much more with lots of closet space! 

The space is empty now and can be occupied immediately.

- Rent is $1500 per month not including electrical utilities. Suite has its own Meter.
- 1 Cat is allowed, not dogs or other pets. Thank you.
- Sorry no smoking.
- Full bathroom with bathtub/shower combination
- Separate private entrance 
- 8 foot ceilings
- Laminate/tile flooring
- In-suite laundry: Washer/dryer
- Refrigerator
- Stove/oven
- Microwave
- Dishwasher
- parking in the driveway & street parking
-full access to backyard
-common natural gas barbecue
-Lots of closet space

Please provide work status, reference from previous landlord.    "
8,RENO'ED 1 Br + Flex Rm w/ BALCONY,NEW WESTMINSTER,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-renoed-1-br-flex-rm-balcony/6952475874.html,1385,1,650.0,"

QR Code Link to This Post


*** These are the BEST SUITES Offering the BEST VALUE in NEW WESTMINSTER!! ***

RENOVATED BUILDING & SUITES: Nice, spacious 680 sq ft 1 Bedroom + Flex Room (that can be used for in-suite storage or small home office) suite with NEW large, private balcony. 
*Located in Brow-of-the-Hill close to all amenities, transit, parks and shopping.

* NEW BATHROOM: bathtub & tile surround, flooring, bath vanity and counter top, new fixtures.
* NEW KITCHEN: Modern appliances (GE Brand fridge and stove), cabinets and counter tops, and flooring. $1385/month
* Modern Berber carpeting throughout the suite, new baseboards, doors and light fixtures 

* Credit check and references required. NO PETS. This is a well-managed, safe, secure building with good tenants. We are members of the Crime-Free Multi-Housing Program, Certified Rental Building Program, and the LandlordBC Registry . We do not tolerate any drugs, loud parties or any such behavior that disturbs other tenants.

* RENT is: $1,385 For 2rd floor suite. *1 YEAR LEASE* Available September 1st. Secured underground parking available for $50/month. 

* CALL  show contact info
 for appointment to view and mention the ad for ""Royal Terrace Apartments"". (Please do not call after 8 pm - thanks for your consideration).    "
9,Fantastic 6-bedroom home in friendly neighbourhood of Burnaby,Burnaby,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/burnaby-fantastic-6-bedroom-home-in/6941582989.html,3800,6,2663.0,"

QR Code Link to This Post


This spacious house is located in a quiet and friendly neighbourhood. It is 2 minutes walking distance to transit to Vancouver downtown, Metrotown and Skytrain. 

 Features of the house:
 2 stories, over 2600 sft, 6 bedrooms and 3 baths
 3 bedroom and 2 bath, kitchen and living room on the upper floor, plus a solarium ,
 3 bedroom, 1 bath and  kitchen on the lower floor.
 Separate laundry facilities for upper and lower floor. 
 Separate kitchen for upper and lower floor.
 Large master bedroom with walk in closet.
 Parking: up to 4 (2 garage, 2 driveway)
 No smoking, No pets.

 Asking $3,800. 
 Available on Oct 1, 2019
 Minimum 12 month lease
 Reference and credit report are required upon application.
"
10,One BR AP fully renovated Uptown New West.,New Westminster,Aug  8,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-one-br-ap-fully/6952472568.html,1495,1,750.0,"

QR Code Link to This Post


One Bedroom apartment, corner main floor unit, located in a first floor of 3 story old lowrise building in the central uptown New West. across from Walmart, Mall and other shopping centers. Location is perfect for a person who needs to reside in the middle of coffee shops, Tim Horton, and Safe on Food. This unit apartment has been fully upgraded with a clean look including all brand new appliances including dishwasher and microwave. Monthly rent of $1495 included extra Storage room , access to laundry machines. One year lease required with work references.
Parking is not included and is subject to availability to be rented. NO PET.  AVAILABLE mid August .
Plz email your contact number if you are serious or text  show contact info
 for booking an appointment to view.    "
